TGL_LAHIR,JENIS_KELAMIN,TANGGAL_DAFTAR,KECAMATAN,PENDIDIKAN,JURUSAN,TAHUN_LULUS,Keterampilan,UPAH_DIINGINKAN,JABATAN_DIINGINKAN,WILAYAH_DIINGINKAN,WILAYAH_DIINGINKAN_DETAIL,UMUR_SAAT_DAFTAR,original_index,JABATAN_DIINGINKAN_Normalized,wilayah_diinginkan_detail_normalized
1996-09-01,L,2021-11-02,TAMANSARI,SMK,TEKNIK MESIN,2015.0,,Rp 2.500.001 - Rp 5.000.000,APASAJA,DI DALAM NEGERI,TASIKMALAYA,25,0,lain-lain,tasikmalaya
2003-04-08,P,2021-11-02,CIHIDEUNG,SMA / LAINNYA,IPS,2021.0,MS OFFICE,Rp 1.000.001 - Rp 2.500.000,APA SAJA,DI DALAM NEGERI,TASIKMALAYA,18,1,lain-lain,tasikmalaya
1999-09-01,P,2021-11-02,CIBEUREUM,D.III,KEPERAWATAN,2021.0,,Rp 2.500.001 - Rp 5.000.000,PERAWAT,DI DALAM NEGERI,JAWA BARAT,22,2,perawat,jawa barat
1979-11-15,P,2021-11-03,CIBEUREUM,SMK,SEKERTARIS,1997.0,MEMASAK,Rp 2.500.001 - Rp 5.000.000,KARYAWAN,DI DALAM NEGERI,JAWA BARAT,41,3,pekerja umum,jawa barat
1999-09-16,P,2021-11-03,CIBEUREUM,D.III,D3 KEPERAWATAN,2021.0,HIMPUNAN MAHASISWA D3 KEPERAWATAN ,Rp 2.500.001 - Rp 5.000.000,KEPALA RUMAH SAKIT,DI DALAM NEGERI,TASIKMALAYA ,22,4,manajemen/direksi,tasikmalaya
2002-12-04,P,2021-11-03,MANGKUBUMI,SMA / LAINNYA,IPS,2021.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,PEMBISNIS,DI DALAM NEGERI,TASIKMALAYA,18,5,bisnis/wirausaha,tasikmalaya
1999-04-13,L,2021-11-03,CIHIDEUNG,D.IV,TEKNIK ELEKTRO,2021.0,SEPAKBOLA,Rp 5.000.001 - Rp 10.000.000,PRODUCTION ENGINERRING,DI DALAM NEGERI,KARAWANG BEKASI CIKARANG,22,6,produksi/operasional,bekasi
1999-04-13,L,2021-11-03,CIHIDEUNG,D.IV,TEKNIK ELEKTRO,2021.0,SEPAKBOLA,Rp 5.000.001 - Rp 10.000.000,PRODUCTION ENGINERRING,DI DALAM NEGERI,KARAWANG BEKASI CIKARANG,22,6,produksi/operasional,cikarang
1999-04-13,L,2021-11-03,CIHIDEUNG,D.IV,TEKNIK ELEKTRO,2021.0,SEPAKBOLA,Rp 5.000.001 - Rp 10.000.000,PRODUCTION ENGINERRING,DI DALAM NEGERI,KARAWANG BEKASI CIKARANG,22,6,produksi/operasional,karawang
1999-04-10,P,2021-11-03,CIHIDEUNG,S1,MANAJEMEN,2021.0,OLAHRAGA,Rp 5.000.001 - Rp 10.000.000,AKUNTAN  STAFF ADMIN,DI DALAM NEGERI,BANDUNG KARAWANG BEKASI,22,7,administrasi/staf umum,bandung
1999-04-10,P,2021-11-03,CIHIDEUNG,S1,MANAJEMEN,2021.0,OLAHRAGA,Rp 5.000.001 - Rp 10.000.000,AKUNTAN  STAFF ADMIN,DI DALAM NEGERI,BANDUNG KARAWANG BEKASI,22,7,administrasi/staf umum,bekasi
1999-04-10,P,2021-11-03,CIHIDEUNG,S1,MANAJEMEN,2021.0,OLAHRAGA,Rp 5.000.001 - Rp 10.000.000,AKUNTAN  STAFF ADMIN,DI DALAM NEGERI,BANDUNG KARAWANG BEKASI,22,7,administrasi/staf umum,karawang
1997-04-18,L,2021-11-03,MANGKUBUMI,SMK,OTOMOTIF,2017.0,OLAHRAGA CALISTENIC,Rp 2.500.001 - Rp 5.000.000,ADMINISTRASI,DI DALAM NEGERI,TASIKMALAYA,24,8,administrasi/staf umum,tasikmalaya
2002-07-18,L,2021-11-03,BUNGURSARI,SMA / LAINNYA,IPS,2021.0,BERENANG,0 - Rp 1.000.000,KARYAWAN TETAP,DI DALAM NEGERI,JAKARTA,19,9,pekerja umum,jakarta
2001-12-21,L,2021-11-03,MANGKUBUMI,SMK,TKR OTOMOTIF,2021.0,AUTOMOTIF OLAHRAGA,Rp 5.000.001 - Rp 10.000.000,KARYAWAN,DI DALAM NEGERI,BEKASI,19,10,pekerja umum,bekasi
2000-04-12,L,2021-11-03,CIPEDES,SMA / LAINNYA,IPA,2019.0,FUTSAL,Rp 5.000.001 - Rp 10.000.000,PNS,DI DALAM NEGERI,TASIKMALAYA,21,11,pelayanan publik/pemerintahan,tasikmalaya
1999-02-13,P,2021-11-03,CIBEUREUM,SMA / LAINNYA,IPS,2017.0,BERNYANYI,0 - Rp 1.000.000,HELPER PACKAGING,DI DALAM NEGERI,BANDUNG,22,12,logistik/gudang,bandung
2003-04-05,P,2021-11-04,CIPEDES,SMA / LAINNYA,IPA,2021.0,EDITING,Rp 2.500.001 - Rp 5.000.000,PEGAWAI ,DI DALAM NEGERI,BANDUNG,18,13,pekerja umum,bandung
2000-10-03,L,2021-11-04,INDIHIANG,SMK,MESIN PRODUKSI,2019.0,BASKET DAN MUSIK,0 - Rp 1.000.000,MANEGER,DI LUAR NEGERI,DIMANA SAJA,21,14,manajemen/direksi,lokasi tidak spesifik
2002-04-01,P,2021-11-04,CIHIDEUNG,SMA / LAINNYA,ILMU PENGETAHUAN SOSIAL,2021.0,OLAHRAGA,Rp 2.500.001 - Rp 5.000.000,OPERATOR PRODUKSI,DI DALAM NEGERI,KABUPATEN KARAWANG BARAT,19,15,produksi/operasional,kab. karawang
